gvkey,datadate,tic,AP,AT,BV,COGS,EMP,IBE,OCF,PPE,REC,SALE,XOPR,MV,2_digit_sic
1004,20130531,AIR,149.3,2136.9,918.6,1714.5,6.3,55,162.9,780.9,315.4,2167.1,1921.9,790.0029,50
1004,20140531,AIR,171.1,2199.5,999.5,1581.4,5.8,72.9,139.8,837.6,297.9,2035,1779,961.308,50
1004,20150531,AIR,142.3,1515,845.1,1342.7,4.85,-54.5,-43,693.5,231.1,1594.3,1510.6,1046.3954,50
1004,20160531,AIR,163.4,1442.1,865.8,1354.9,4.7,40.5,32.1,731.2,242.7,1662.6,1525.7,842.5112,50
1004,20170531,AIR,177.4,1504.1,914.2,1422.7,4.6,50.2,21.8,775.4,251.4,1767.6,1619.4,1200.3288,50
1045,20121231,AAL,1244,23510,-7987,20529,77.75,-1876,1279,24233,1124,24855,23421,266.5571,45
1045,20131231,AAL,1368,42278,-2731,19084,110.4,-1834,675,30392,1560,26712,23756,6591.9923,45
1045,20141231,AAL,1377,43771,2021,29511,113.3,2882,3080,35343,1771,42650,36065,37405.5843,45
1045,20151231,AAL,1563,48415,5635,25416,118.5,7610,6249,40654,1425,40990,32099,26452.7417,45
1045,20161231,AAL,1592,51274,3785,25695,122.3,2676,6524,45353,1594,40180,32347,23685.5569,45
1050,20121231,CECE,11.098,94.104,61.994,91.69,0.452,10.85,16.829,15.196,29.499,135.052,117.119,168.7421,35
1050,20131231,CECE,23.108,348.536,170.406,134.576,0.783,6.557,24.181,33.974,44.364,197.317,171.674,413.2812,35
1050,20141231,CECE,31.882,414.365,181.224,176.177,0.853,13.077,16.263,34.186,58.394,263.217,227.617,408.1892,35
1050,20151231,CECE,62.199,598.819,239.153,254.922,1.174,-5.602,12.637,62.61,97.778,367.422,322.251,260.4902,35
1050,20161231,CECE,58.985,498.634,190.082,278.049,0.985,-38.218,69.599,43.723,83.062,417.011,360.792,476.5599,35
1062,20121130,ASA,0.148,468.013,466.493,4.095,,-152.257,,0,0.481,5.817,4.095,,67
1062,20121130,ASA,0.888,468.013,,,,38.634,,0,,45.498,,,67
1062,20131130,ASA,1.181,252.142,,,,-7.336,,0,,-2.926,,,67
1062,20131130,ASA,0.355,252.142,250.347,4.11,,-212.673,,0,0.194,4.481,4.11,,67
1062,20141130,ASA,0.948,223.333,,,,-11.746,,0,,-7.048,,,67
1062,20141130,ASA,0.175,223.333,221.8,3.677,,-27.775,,0,0.099,2.219,3.677,,67
1062,20151130,ASA,0.198,162.35,160.744,3.376,,-60.285,,0,0.087,1.666,3.376,,67
1062,20151130,ASA,0.198,162.35,,,,-60.285,,0,,-52.884,,,67
1062,20161130,ASA,0.412,245.02,,,,83.257,,0,,89.259,,208.5249,67
1062,20161130,ASA,0.412,245.02,243.229,3.21,,83.257,,0,0.075,1.21,3.21,208.5249,67
1072,20130331,AVX,115.187,2601.995,1972.93,1103.759,10.7,-64.312,194.795,1627.664,217.091,1414.4,1221.124,2006.7327,36
1072,20140331,AVX,94.634,2384.988,2047.685,1113.561,10.9,127.037,-70.637,1636.796,279.791,1442.604,1233.231,2217.1528,36
1072,20150331,AVX,76.043,2459.015,2131.963,982.445,10.4,225.871,197.589,1467.937,256.496,1353.228,1098.265,2400.0713,36
1072,20160331,AVX,78.168,2409.819,2177.106,867.509,10.2,101.535,166.441,1513.251,220.072,1195.529,987.276,2105.3744,36
1072,20170331,AVX,80.441,2477.413,2216.479,950.329,10.8,125.785,195.011,1529.251,221.091,1312.661,1067.927,2750.6934,36
1075,20121231,PNW,221.312,13379.615,3972.806,2045.713,6.613,387.371,1171.122,15682.011,368.73,3301.804,2045.713,5594.6981,49
1075,20131231,PNW,284.516,13508.686,4194.47,2192.597,6.433,406.074,1153.307,16561.186,393.497,3454.628,2192.597,5830.8314,49
1075,20141231,PNW,295.211,14313.532,4367.493,2263.032,6.366,397.595,1099.627,16965.43,395.179,3491.632,2263.032,7553.105,49
1075,20151231,PNW,297.48,15028.258,4583.917,2146.419,6.407,437.257,1094.327,17759.842,367.806,3495.443,2146.419,7155.9904,49
1075,20161231,PNW,264.631,16004.253,4803.622,2156.869,6.339,442.034,1023.39,18916.895,355.403,3498.682,2156.869,8687.6261,49
1076,20121231,AAN,225.532,1812.929,1136.126,411.076,11.9,173.043,59.754,1930.007,99.157,2222.588,1306.555,2141.3616,73
1076,20131231,AAN,243.91,1827.176,1139.963,361.899,12.6,120.666,308.437,1879.358,68.684,2234.631,1327.567,2144.9358,73
1076,20141231,AAN,270.421,2456.844,1223.521,354.598,12.4,78.233,-48.962,2211.136,231.478,2725.239,1531.005,2215.9582,73
1076,20151231,AAN,298.756,2658.875,1366.618,372.817,12.7,135.709,166.761,2306.783,378.408,3179.756,1642.792,1625.514,73
1076,20161231,AAN,71.941,2615.736,1481.598,295.188,11.5,139.283,465.444,2170.636,192.465,3207.716,1560.912,2285.6535,73
1078,20121231,ABT,1796.99,67234.944,26720.961,12009.511,91,5962.92,9314.401,18928.887,7612.86,39873.91,27307.188,103271.6885,28
1078,20131231,ABT,1026,42953,25171,9067,69,2383,3324,12870,3986,21848,17455,59338.5963,28
1078,20141231,ABT,1064,41275,21526,8159,77,1721,3675,12632,3586,20247,15772,67891.7357,28
1078,20151231,ABT,1081,41247,21211,7722,74,2606,2966,12383,3418,20405,15561,66137.3852,28
1078,20161231,ABT,1178,52666,20538,8110,75,1063,3203,12366,3248,20853,15878,56572.8983,28
1084,20121231,WDDD,0.798,0.237,-3.288,0,0.001,-1.664,-0.518,0.011,0.135,0,1.664,15.9626,73
1084,20131231,WDDD,0.798,0.328,-4.002,0,0.001,-4.128,-1.101,0,0.299,0,3.97,13.9815,73
1084,20141231,WDDD,0.798,0.028,-4.604,0,0.001,-0.983,-0.095,0,0,0,0.816,14.0435,73
1084,20151231,WDDD,0.798,0.026,-5.142,0,0.001,-4.037,-0.48,0,0,0,0.769,3.3654,73
1084,20161231,WDDD,0.798,0.093,-4.779,0,0.001,-1.133,-0.681,0,0,0,0.829,5.5691,73
1094,20130630,ACET,39.222,323.43,194.64,394.475,0.234,22.328,23.731,18.633,95.391,499.69,455.086,387.6858,51
1094,20140630,ACET,48.716,467.984,233.584,387.384,0.27,29,25.056,20.703,127.982,510.179,454.571,521.9241,51
1094,20150630,ACET,54.962,489.774,254.211,399.668,0.27,33.483,8.343,20.008,172.132,546.951,481.275,717.8906,51
1094,20160630,ACET,46.034,540.778,304.442,403.041,0.27,34.766,31.831,20.708,180.262,558.524,488.872,647.8346,51
1094,20170630,ACET,90.011,1040.79,407.672,469.27,0.286,11.376,44.567,21.555,275.56,638.318,570.138,464.9523,51
1097,20121231,ACMTA,1.666,85.769,35.67,0.549,,1.211,-3.74,6.921,2.657,6.003,4.087,25.1933,63
1097,20131231,ACMTA,1.563,77.654,33.296,0.36,,0.999,-5.016,7.025,2.927,5.547,3.758,27.876,63
1097,20141231,ACMTA,1.27,75.698,32.547,0.262,,0.888,-1.283,6.459,2.394,5.102,3.426,21.5735,63
1097,20151231,ACMTA,1.437,73.518,30.481,-0.244,,0.727,-0.637,6.454,2.885,3.857,2.475,18.035,63
1097,20161231,ACMTA,1.452,72.257,29.823,-0.05,,0.766,1.319,6.488,2.772,4.239,2.74,18.5394,63
1104,20121231,ACU,6.48,67.828,30.866,53.533,0.171,3.549,-1.273,10.868,16.442,84.37,77.919,34.5,34
1104,20131231,ACU,4.789,68.079,35.005,56.548,0.18,4.003,6.475,15.356,15.629,89.577,82.493,47.6949,34
1104,20141231,ACU,7.773,79.308,39.428,67.137,0.303,4.789,4.649,15.629,19.477,107.222,97.828,65.7871,34
1104,20151231,ACU,6.664,81.421,43.184,67.799,0.342,4.794,1.08,16.089,19.565,109.812,100.013,58.2552,34
